year,SriLanka,India,United Kingdom,United States
1960,1620000,80600000,41100000,126000000
1961,1680000,82700000,41400000,129000000
1962,1730000,85200000,41700000,132000000
1963,1790000,87900000,41900000,135000000
1964,1850000,90600000,42100000,137000000
1965,1900000,93500000,42300000,140000000
1966,1960000,96400000,42500000,142000000
1967,2020000,99500000,42600000,144000000
1968,2080000,103000000,42700000,146000000
1969,2140000,106000000,42800000,149000000
1970,2200000,109000000,42900000,151000000
1971,2260000,113000000,43100000,153000000
1972,2310000,118000000,43300000,155000000
1973,2370000,122000000,43500000,156000000
1974,2430000,127000000,43600000,157000000
1975,2490000,133000000,43700000,159000000
1976,2550000,138000000,43800000,161000000
1977,2610000,143000000,43800000,162000000
1978,2670000,149000000,43900000,164000000
1979,2740000,155000000,44100000,166000000
1980,2800000,161000000,44200000,168000000
1981,2850000,167000000,44300000,170000000
1982,2890000,173000000,44200000,172000000
1983,2930000,178000000,44200000,173000000
1984,2970000,184000000,44300000,175000000
1985,3010000,190000000,44300000,177000000
1986,3050000,196000000,44400000,179000000
1987,3090000,203000000,44500000,181000000
1988,3130000,209000000,44500000,183000000
1989,3170000,216000000,44600000,185000000
1990,3210000,222000000,44700000,188000000
1991,3250000,229000000,44900000,192000000
1992,3280000,235000000,45000000,195000000
1993,3310000,242000000,45200000,199000000
1994,3340000,249000000,45300000,202000000
1995,3370000,256000000,45500000,206000000
1996,3390000,263000000,45600000,209000000
1997,3400000,270000000,45800000,213000000
1998,3420000,277000000,45900000,216000000
1999,3430000,284000000,46100000,220000000
2000,3450000,291000000,46300000,223000000
2001,3470000,299000000,46600000,226000000
2002,3500000,308000000,46900000,228000000
2003,3520000,317000000,47300000,231000000
2004,3550000,325000000,47800000,234000000
2005,3570000,334000000,48300000,236000000
2006,3600000,344000000,48800000,239000000
2007,3620000,353000000,49400000,242000000
2008,3640000,362000000,49900000,245000000
2009,3660000,371000000,50500000,247000000
2010,3680000,381000000,51000000,250000000
2011,3700000,390000000,51600000,252000000
2012,3720000,400000000,52100000,255000000
2013,3750000,409000000,52700000,257000000
2014,3780000,419000000,53200000,260000000
2015,3830000,429000000,53800000,262000000
2016,3880000,439000000,54400000,265000000
2017,3940000,450000000,54900000,267000000
